Year,Month,Estimated_Delhi_FTAs,ADR (INR),RevPAR (INR),Occupancy (%),USD_INR_Rate,ADR_USD,Avg_Temp,Avg_Max_Temp,Avg_Min_Temp,Avg_Humidity,Total_Rainfall,Monthly_Mean_AQI,Severe_Day_Count,Max_AQI,Quarter,International_Aviation_Arrivals,Capture_Ratio (%)
2015,January,197808,7205,5030.4,69.82,62.01,116.19,12.48,18.53,8.01,82.48,7.66,,,,1,549680,35.99
2015,February,190343,7532.5,5868.8,77.91,61.65,122.18,20.89,28.09,13.63,60.58,2.1,,,,1,528936,35.99
2015,March,182375,7532.5,5659.2,75.13,62.28,120.94,23.75,30.57,17.39,60.07,13.56,,,,1,506794,35.99
2015,April,135452,5895,3353.6,56.89,63.52,92.81,30.04,36.56,23.41,44.27,1.9,,,,2,482824,28.05
2015,May,127528,5240,2515.2,48,63.73,82.22,34.4,41.72,26.96,33.81,2.14,,,,2,454579,28.05
2015,June,128146,5240,2515.2,48,63.59,82.4,31.83,37.19,26.66,60.01,53.94,,,,2,456782,28.05
2015,July,157156,5567.5,3144,56.47,63.98,87.02,30.14,33.75,27.15,74.92,18.88,,,,3,513678,30.59
2015,August,149941,5895,3563.2,60.44,66.4,88.78,30.61,34.85,26.94,72.55,65.57,,,,3,490096,30.59
2015,September,135715,6550,4192,64,65.51,99.99,30,35.09,25.42,63.59,18.88,,,,3,443597,30.59
2015,October,170903,7205,5240,72.73,65.41,110.15,26.14,32.59,20.34,58.2,0.74,,,,4,478589,35.71
2015,November,204084,7860,5868.8,74.67,66.45,118.28,20.04,27.51,14.03,62.07,0,,,,4,571508,35.71
2015,December,228290,7532.5,4820.8,64,66.2,113.79,13.47,21.43,7.07,68.3,0,,,,4,639294,35.71
2016,January,210944,7370,5346,72.54,67.87,108.59,13.56,19.67,9.13,82.13,0,,,,1,555780,37.95
2016,February,212006,7705,6237,80.95,68.2,112.98,19.9,27.16,13.42,63.18,1.2,,,,1,558578,37.95
2016,March,202096,7705,6014.25,78.06,66.25,116.3,25.05,31.99,18.06,53.52,14.63,,,,1,532468,37.95
2016,April,147868,6030,3564,59.1,66.42,90.79,32.38,40.02,23.92,26.48,0,,,,2,547365,27.01
2016,May,131748,5360,2673,49.87,67.2,79.76,34.24,40.49,27.72,43.86,21.1,,,,2,487694,27.01
2016,June,136621,5360,2673,49.87,67.49,79.42,33.42,38.38,28.77,60.81,33.88,,,,2,505732,27.01
2016,July,183294,5695,3341.25,58.67,66.63,85.47,29.86,33.32,27.44,81.58,178.94,,,,3,619905,29.57
2016,August,162882,6030,3786.75,62.8,66.96,90.05,29.93,33.69,26.91,78.99,116.42,,,,3,550871,29.57
2016,September,151908,6700,4455,66.49,66.55,100.68,30.7,35.14,26.55,66.74,5.25,,,,3,513756,29.57
